power.draw [W], utilization.gpu [%]
63.57 W, 0 %
63.57 W, 0 %
64.17 W, 0 %
63.57 W, 0 %
63.84 W, 0 %
63.29 W, 0 %
63.29 W, 0 %
63.57 W, 0 %
63.84 W, 0 %
63.57 W, 0 %
63.84 W, 0 %
63.64 W, 0 %
64.23 W, 1 %
57.47 W, 0 %
57.47 W, 1 %
57.47 W, 1 %
57.47 W, 0 %
57.47 W, 0 %
57.47 W, 0 %
57.74 W, 2 %
63.64 W, 0 %
148.99 W, 2 %
273.95 W, 99 %
197.19 W, 100 %
73.89 W, 0 %
223.58 W, 57 %
220.36 W, 100 %
257.00 W, 96 %
185.93 W, 100 %
230.89 W, 93 %
252.31 W, 92 %
273.41 W, 100 %
247.62 W, 100 %
219.71 W, 100 %
211.20 W, 99 %
227.40 W, 100 %
179.03 W, 100 %
231.76 W, 100 %
288.02 W, 100 %
152.65 W, 100 %
79.38 W, 100 %
233.83 W, 100 %
240.26 W, 100 %
104.40 W, 0 %
73.22 W, 0 %
250.25 W, 84 %
204.29 W, 100 %
228.30 W, 99 %
75.02 W, 61 %
74.42 W, 2 %
72.75 W, 0 %
73.82 W, 1 %
72.42 W, 53 %
72.67 W, 0 %
56.54 W, 0 %
54.19 W, 0 %
55.99 W, 0 %
