power.draw [W], utilization.gpu [%]
52.83 W, 0 %
54.58 W, 0 %
59.60 W, 0 %
58.13 W, 0 %
58.13 W, 0 %
61.29 W, 0 %
61.35 W, 0 %
65.11 W, 0 %
65.18 W, 0 %
57.74 W, 0 %
58.07 W, 0 %
57.80 W, 0 %
58.13 W, 5 %
58.73 W, 0 %
59.00 W, 5 %
220.86 W, 100 %
205.91 W, 100 %
73.37 W, 0 %
260.75 W, 100 %
222.94 W, 99 %
107.73 W, 98 %
211.20 W, 100 %
286.30 W, 100 %
214.70 W, 100 %
214.42 W, 100 %
251.44 W, 100 %
77.20 W, 41 %
218.79 W, 100 %
266.92 W, 100 %
242.33 W, 100 %
254.66 W, 100 %
203.95 W, 100 %
74.69 W, 0 %
268.39 W, 100 %
73.62 W, 0 %
58.07 W, 0 %
273.95 W, 100 %
204.50 W, 100 %
86.74 W, 100 %
73.82 W, 96 %
74.69 W, 3 %
73.02 W, 22 %
