power.draw [W], utilization.gpu [%]
51.90 W, 0 %
51.90 W, 0 %
62.76 W, 2 %
62.44 W, 0 %
57.47 W, 0 %
64.50 W, 0 %
64.50 W, 0 %
64.50 W, 0 %
64.50 W, 0 %
63.57 W, 0 %
63.57 W, 0 %
59.15 W, 0 %
59.54 W, 4 %
59.15 W, 0 %
59.48 W, 5 %
220.36 W, 100 %
196.92 W, 100 %
72.95 W, 100 %
274.27 W, 100 %
257.28 W, 100 %
248.51 W, 100 %
72.95 W, 26 %
236.53 W, 99 %
304.71 W, 99 %
211.91 W, 100 %
105.49 W, 100 %
217.47 W, 100 %
223.95 W, 100 %
211.04 W, 100 %
373.12 W, 100 %
251.72 W, 100 %
250.85 W, 62 %
212.24 W, 100 %
264.63 W, 100 %
239.47 W, 100 %
249.11 W, 76 %
220.14 W, 100 %
246.17 W, 100 %
259.95 W, 100 %
216.00 W, 83 %
257.28 W, 100 %
75.29 W, 0 %
58.34 W, 0 %
223.95 W, 100 %
202.87 W, 100 %
240.01 W, 100 %
271.05 W, 70 %
268.44 W, 70 %
73.22 W, 0 %
58.88 W, 2 %
77.90 W, 100 %
73.82 W, 0 %
52.78 W, 0 %
52.72 W, 0 %
52.45 W, 0 %
52.45 W, 0 %
