pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 52.78, 0, 2
00000000:15:00.0, 52.88, 0, 0
00000000:0F:00.0, 57.41, 0, 479
00000000:15:00.0, 57.08, 3, 413
00000000:0F:00.0, 60.35, 0, 603
00000000:15:00.0, 56.69, 0, 507
00000000:0F:00.0, 64.44, 0, 637
00000000:15:00.0, 62.57, 0, 613
00000000:0F:00.0, 62.37, 0, 637
00000000:15:00.0, 56.69, 0, 613
00000000:0F:00.0, 57.41, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 62.37, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 60.35, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 59.21, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 57.41, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 57.41, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 57.41, 0, 637
00000000:15:00.0, 56.69, 0, 621
00000000:0F:00.0, 64.44, 0, 4921
00000000:15:00.0, 57.02, 0, 8875
00000000:0F:00.0, 58.01, 1, 5105
00000000:15:00.0, 56.69, 0, 8897
00000000:0F:00.0, 57.41, 0, 9281
00000000:15:00.0, 57.29, 1, 8965
00000000:0F:00.0, 57.41, 2, 9407
00000000:15:00.0, 56.69, 1, 9033
00000000:0F:00.0, 61.02, 0, 9649
00000000:15:00.0, 56.69, 0, 9187
00000000:0F:00.0, 269.31, 90, 9649
00000000:15:00.0, 106.69, 5, 9633
00000000:0F:00.0, 196.59, 96, 9649
00000000:15:00.0, 71.92, 73, 9633
00000000:0F:00.0, 82.05, 46, 9677
00000000:15:00.0, 195.98, 100, 9633
00000000:0F:00.0, 186.94, 86, 17869
00000000:15:00.0, 72.19, 19, 9661
00000000:0F:00.0, 119.83, 60, 17869
00000000:15:00.0, 189.49, 96, 17853
00000000:0F:00.0, 105.77, 66, 17869
00000000:15:00.0, 73.66, 100, 17853
00000000:0F:00.0, 189.29, 41, 17869
00000000:15:00.0, 194.44, 62, 17853
00000000:0F:00.0, 162.90, 66, 17921
00000000:15:00.0, 211.42, 80, 17905
00000000:0F:00.0, 219.76, 66, 17921
00000000:15:00.0, 231.60, 100, 17905
00000000:0F:00.0, 75.09, 100, 17921
00000000:15:00.0, 72.00, 0, 17905
00000000:0F:00.0, 240.59, 100, 18273
00000000:15:00.0, 210.23, 100, 18257
00000000:0F:00.0, 213.60, 100, 18273
00000000:15:00.0, 209.95, 100, 18257
00000000:0F:00.0, 251.71, 99, 18273
00000000:15:00.0, 256.47, 100, 18257
00000000:0F:00.0, 203.08, 100, 18273
00000000:15:00.0, 202.66, 100, 18257
00000000:0F:00.0, 264.03, 100, 18273
00000000:15:00.0, 262.88, 100, 18257
00000000:0F:00.0, 167.76, 100, 18273
00000000:15:00.0, 72.60, 2, 18257
00000000:0F:00.0, 73.37, 0, 18273
00000000:15:00.0, 191.43, 99, 18257
00000000:0F:00.0, 74.85, 99, 18273
00000000:15:00.0, 212.51, 0, 18257
00000000:0F:00.0, 230.25, 0, 18273
00000000:15:00.0, 89.36, 99, 18257
00000000:0F:00.0, 73.37, 0, 18273
00000000:15:00.0, 72.34, 0, 18257
00000000:0F:00.0, 73.10, 0, 18273
00000000:15:00.0, 71.75, 0, 18257
00000000:0F:00.0, 266.92, 100, 18273
00000000:15:00.0, 281.60, 100, 18257
00000000:0F:00.0, 87.37, 99, 18273
00000000:15:00.0, 106.80, 37, 18257
00000000:0F:00.0, 73.29, 0, 18273
00000000:15:00.0, 71.67, 0, 18257
00000000:0F:00.0, 58.94, 2, 17745
00000000:15:00.0, 57.95, 0, 17747
00000000:0F:00.0, 65.71, 0, 17701
00000000:15:00.0, 62.90, 0, 17687
00000000:0F:00.0, 58.67, 1, 17403
00000000:15:00.0, 57.35, 0, 17387
00000000:0F:00.0, 73.62, 0, 2
00000000:15:00.0, 71.40, 0, 0
