power.draw [W], utilization.gpu [%]
54.85 W, 0 %
60.69 W, 4 %
57.41 W, 0 %
57.41 W, 0 %
57.41 W, 0 %
57.41 W, 0 %
64.44 W, 0 %
57.41 W, 0 %
63.57 W, 0 %
57.47 W, 0 %
63.57 W, 0 %
57.68 W, 4 %
57.41 W, 0 %
151.77 W, 31 %
72.34 W, 0 %
270.19 W, 100 %
223.62 W, 100 %
199.33 W, 100 %
73.29 W, 0 %
218.57 W, 99 %
186.07 W, 100 %
272.25 W, 100 %
195.72 W, 100 %
272.52 W, 100 %
223.35 W, 100 %
234.46 W, 99 %
249.98 W, 99 %
276.61 W, 100 %
238.27 W, 100 %
267.24 W, 100 %
153.25 W, 100 %
183.73 W, 99 %
221.88 W, 100 %
291.86 W, 100 %
216.92 W, 100 %
103.42 W, 100 %
207.22 W, 100 %
222.75 W, 100 %
261.09 W, 100 %
281.62 W, 100 %
304.44 W, 100 %
182.07 W, 100 %
222.75 W, 100 %
231.51 W, 0 %
75.56 W, 32 %
75.02 W, 100 %
245.29 W, 100 %
73.22 W, 0 %
295.67 W, 100 %
201.61 W, 100 %
218.29 W, 100 %
204.01 W, 100 %
318.76 W, 70 %
73.22 W, 0 %
58.88 W, 3 %
58.34 W, 0 %
60.69 W, 12 %
